City,City_Tier,Property_Type,BHK,Builtup_Area_sqft,Property_Age_years,Floor,Total_Floors,Furnishing,Parking,Distance_to_Metro_km,Distance_to_School_km,Distance_to_Hospital_km,Average_Area_Price_sqft,Rental_Yield_percent,Annual_Rent,Property_Price,Investment_Category
Lucknow,Tier_2,Apartment,4,1387,26,1,11,Unfurnished,Covered,2.74,3.16,7.1,2730,2.64,93354,3536164,Medium ROI
Madurai,Tier_3,Apartment,4,1471,3,9,12,Fully-Furnished,Open,6.38,1.44,8.73,3102,3.44,167811,4878243,Medium ROI
Raipur,Tier_3,Independent House,3,986,4,0,2,Unfurnished,Open,1.4,3.81,2.6,2686,3.89,108907,2799680,High ROI
Puducherry,Tier_3,Apartment,1,934,2,6,8,Fully-Furnished,Open,3.89,1.9,1.89,2384,3.97,89432,2252709,High ROI
Jaipur,Tier_2,Apartment,4,1095,3,5,7,Semi-Furnished,None,6.69,6.59,6.16,3294,2.69,95352,3544694,Medium ROI
Dehradun,Tier_3,Independent House,3,1105,8,0,3,Fully-Furnished,Open,2.09,2.26,3.86,2856,4.14,128253,3097905,High ROI
Navi Mumbai,Tier_2,Apartment,2,929,1,1,3,Semi-Furnished,Open,12.55,2.65,6.22,4687,1.87,86084,4603429,Low ROI
Delhi,Tier_1,Apartment,2,1019,2,2,7,Fully-Furnished,Covered,5.76,7.52,7.56,8679,1.5,139005,9267047,Low ROI
Tiruppur,Tier_3,Villa,3,1984,3,0,1,Unfurnished,Open,9.24,2.46,5.24,3271,3.19,198286,6215887,Medium ROI
Srinagar,Tier_3,Apartment,2,1050,18,3,5,Fully-Furnished,Covered,8.24,3.97,2.1,2964,4.23,128135,3029206,High ROI
Warangal,Tier_3,Independent House,2,1236,0,0,2,Unfurnished,Covered,3.76,2.78,6.33,2692,4.1,131637,3210673,High ROI
Nanded,Tier_3,Independent House,2,1073,0,0,2,Fully-Furnished,Covered,1.34,2.99,1.88,4369,3.6,169883,4718990,High ROI
Kota,Tier_3,Apartment,3,963,2,2,4,Unfurnished,Open,5.4,4.33,5.8,2341,3.56,83844,2355181,High ROI
Tirunelveli,Tier_3,Independent House,2,881,1,0,3,Fully-Furnished,Covered,1.64,3.05,2.37,4253,3.75,138565,3695069,High ROI
Bhopal,Tier_2,Apartment,1,961,1,7,9,Semi-Furnished,Open,5.65,3.71,2.37,4236,1.5,59009,3933971,Low ROI
Kota,Tier_3,Apartment,2,653,0,7,8,Unfurnished,None,5.97,2.83,3.88,2550,3.57,56688,1587910,High ROI
Salem,Tier_3,Apartment,4,1581,0,5,6,Unfurnished,Covered,1.48,2.15,1.82,2682,4.3,185505,4314093,High ROI
Navi Mumbai,Tier_2,Plot,2,1388,6,0,2,Fully-Furnished,Open,5.1,5.52,3.28,4932,3.39,227571,6713036,Medium ROI
Bijapur,Tier_3,Villa,2,2220,6,0,2,Unfurnished,Open,4.41,4.56,4.36,2649,3.39,196480,5795877,Medium ROI
Chandrapur,Tier_3,Apartment,3,1237,5,7,8,Semi-Furnished,Covered,1.5,0.75,1.84,2635,2.16,68992,3194088,Low ROI
Chennai,Tier_1,Independent House,2,567,11,0,3,Semi-Furnished,None,0.66,5.8,8.58,5182,1.5,43850,2923355,Low ROI
Faridabad,Tier_3,Independent House,3,928,3,0,2,Unfurnished,Open,3.69,3.69,1.69,2185,4.06,88203,2172489,High ROI
Aurangabad,Tier_3,Plot,1,958,14,0,3,Fully-Furnished,Open,1.18,3.63,5.13,2031,4.86,98993,2036904,High ROI
Kolhapur,Tier_3,Apartment,4,1210,1,2,10,Semi-Furnished,Open,3.83,3.14,6.24,2330,3.44,99845,2902485,Medium ROI
Aurangabad,Tier_3,Apartment,1,721,5,4,7,Fully-Furnished,Covered,5.36,2.14,3.4,2735,4.24,81992,1933785,High ROI
Moradabad,Tier_3,Independent House,3,950,10,0,2,Fully-Furnished,Covered,5.82,4.78,5.24,2991,3.87,105153,2717138,High ROI
Mumbai,Tier_1,Apartment,2,656,10,1,5,Unfurnished,Open,6.6,5.32,10.81,5032,2.73,88556,3243838,Medium ROI
Patna,Tier_2,Apartment,1,649,11,4,6,Semi-Furnished,Open,10.33,2.61,4.37,4303,2.1,54409,2590933,Low ROI
Hubli-Dharwad,Tier_3,Independent House,2,1083,11,0,3,Fully-Furnished,Open,4.73,3.06,1.99,3204,3.56,129061,3625314,High ROI
Raipur,Tier_3,Apartment,1,663,51,4,7,Fully-Furnished,Covered,3.94,1.43,4.5,2238,2.09,32416,1551052,Low ROI
Amritsar,Tier_3,Apartment,2,1371,3,4,11,Unfurnished,Open,7.6,0.36,6.41,1811,3.54,84344,2382604,High ROI
Aligarh,Tier_3,Apartment,5,1666,6,1,5,Semi-Furnished,Open,3.53,1.49,1.68,1968,2.87,94958,3308658,Medium ROI
Thiruvananthapuram,Tier_3,Apartment,3,1248,1,3,4,Fully-Furnished,Open,0.25,2.04,1.77,3312,3.21,122959,3830510,Medium ROI
Bijapur,Tier_3,Plot,2,1501,39,0,1,Unfurnished,Covered,5.24,7.44,5.62,1104,3.65,64348,1762981,High ROI
Cuttack,Tier_3,Plot,4,1973,6,0,3,Semi-Furnished,Covered,6.47,1.95,1.63,2903,4.33,265918,6141309,High ROI
Mysore,Tier_3,Villa,2,2748,0,0,2,Fully-Furnished,Open,1.09,2.35,3.2,4284,2.45,307792,12562947,Low ROI
Gaya,Tier_3,Apartment,3,1666,19,1,9,Semi-Furnished,Covered,2.62,3.07,2.2,2650,3.71,165558,4462498,High ROI
Kolhapur,Tier_3,Apartment,3,770,2,3,7,Fully-Furnished,Open,6.74,4.7,2.92,2748,4.1,81408,1985567,High ROI
Delhi,Tier_1,Apartment,3,952,0,4,5,Fully-Furnished,Open,7.8,4.89,9.33,6843,2.01,120872,6013579,Low ROI
Lucknow,Tier_2,Villa,2,2372,3,0,2,Semi-Furnished,Open,3.15,1.71,6.44,4761,3.56,430272,12086312,High ROI
Vadodara,Tier_2,Villa,3,2986,9,0,1,Unfurnished,Covered,0.76,4.8,6.12,5323,2.87,441395,15379643,Medium ROI
Allahabad,Tier_3,Apartment,2,1073,10,3,7,Fully-Furnished,None,1.11,3.19,0.01,3129,3.64,113765,3125433,High ROI
Allahabad,Tier_3,Apartment,1,1074,0,7,8,Semi-Furnished,Open,0.49,2.62,3.04,2078,5.24,109416,2088108,High ROI
Agra,Tier_3,Apartment,3,1111,1,3,6,Semi-Furnished,Open,4.39,4.26,3.42,3085,4.49,147239,3279266,High ROI
Bhubaneswar,Tier_3,Apartment,2,889,0,5,10,Semi-Furnished,Covered,4.8,3.7,4.89,3445,3.9,125270,3212064,High ROI
Rajkot,Tier_3,Apartment,4,1498,4,8,9,Semi-Furnished,None,8.6,6.02,3.21,2178,3.76,123762,3291559,High ROI
Bhubaneswar,Tier_3,Apartment,3,1119,6,3,7,Unfurnished,Covered,2.65,1.77,2.27,2851,2.29,71135,3106338,Low ROI
Bokaro,Tier_3,Apartment,1,1312,3,3,7,Unfurnished,Open,1.92,2.97,4.26,2552,2.83,92362,3263709,Medium ROI
Nagpur,Tier_2,Apartment,2,768,8,0,6,Semi-Furnished,None,4.72,2.63,4.43,3150,2.26,54081,2392989,Low ROI
Rourkela,Tier_3,Plot,4,2029,5,0,1,Unfurnished,Open,3.27,2.45,3.96,1938,4.56,181358,3977159,High ROI
Chennai,Tier_1,Apartment,2,786,34,4,5,Fully-Furnished,Covered,5.69,3.67,9.98,3986,1.5,44941,2996068,Low ROI
Ghaziabad,Tier_2,Plot,2,1262,2,0,1,Semi-Furnished,Open,4.02,2.0,1.73,4514,1.54,91293,5928135,Low ROI
Tirunelveli,Tier_3,Apartment,2,960,5,0,4,Semi-Furnished,Open,6.67,3.75,7.19,3098,3.04,96322,3168491,Medium ROI
Jodhpur,Tier_3,Independent House,1,576,4,0,1,Fully-Furnished,Open,2.89,1.29,3.37,2728,4.75,75850,1596856,High ROI
Bengaluru,Tier_1,Plot,2,1639,15,0,2,Semi-Furnished,Open,10.86,6.38,14.21,3783,3.09,200532,6489735,Medium ROI
Gwalior,Tier_3,Plot,2,1647,14,0,2,Unfurnished,Open,2.54,0.82,0.66,1582,3.62,88741,2451424,High ROI
Bokaro,Tier_3,Apartment,4,1622,4,3,11,Fully-Furnished,None,6.06,0.82,8.04,2574,3.05,128868,4225198,Medium ROI
Agartala,Tier_3,Villa,2,2251,19,0,2,Fully-Furnished,Covered,6.18,3.31,2.33,3668,5.5,481862,8761141,High ROI
Navi Mumbai,Tier_2,Apartment,3,1656,3,1,6,Fully-Furnished,Covered,9.0,3.52,1.67,6029,2.97,302343,10179927,Medium ROI
Bikaner,Tier_3,Apartment,2,1261,2,6,9,Semi-Furnished,Open,7.1,0.05,1.15,2440,4.14,125467,3030613,High ROI
Gwalior,Tier_3,Apartment,2,1139,17,10,11,Fully-Furnished,None,1.4,3.92,0.84,2057,5.03,125689,2498789,High ROI
Kolkata,Tier_1,Independent House,2,945,2,0,3,Fully-Furnished,None,5.67,1.06,7.15,6787,2.98,184798,6201304,Medium ROI
Tirunelveli,Tier_3,Independent House,4,1406,0,0,1,Fully-Furnished,None,0.31,7.92,3.54,3061,4.51,197249,4373595,High ROI
Mangalore,Tier_3,Villa,2,2376,7,0,2,Semi-Furnished,None,0.99,0.52,2.94,3984,3.47,323504,9322884,Medium ROI
Ongole,Tier_3,Independent House,3,1283,3,0,1,Unfurnished,Open,6.43,4.26,3.27,2844,3.27,127389,3895714,Medium ROI
Varanasi,Tier_3,Apartment,2,619,3,0,6,Fully-Furnished,Covered,7.66,3.37,0.46,3496,3.41,71059,2083844,Medium ROI
Firozabad,Tier_3,Plot,4,1720,7,0,2,Unfurnished,Open,8.45,1.49,6.17,1662,5.5,162526,2955030,High ROI
Tiruppur,Tier_3,Apartment,2,825,9,4,10,Unfurnished,Open,5.03,3.35,6.24,2708,4.4,95599,2172710,High ROI
Mysore,Tier_3,Plot,1,1246,1,0,1,Fully-Furnished,None,2.44,2.67,2.72,2346,2.86,89197,3118804,Medium ROI
Varanasi,Tier_3,Apartment,2,1112,29,2,4,Semi-Furnished,Covered,6.33,0.63,1.16,1703,2.89,55387,1916524,Medium ROI
Kurnool,Tier_3,Apartment,3,1152,5,10,11,Semi-Furnished,Open,8.13,4.64,0.41,2788,3.96,135562,3423287,High ROI
Ujjain,Tier_3,Independent House,3,702,29,0,1,Semi-Furnished,Open,2.68,3.47,4.86,2303,3.32,56162,1691629,Medium ROI
Agra,Tier_3,Apartment,4,1198,3,2,5,Semi-Furnished,Covered,4.02,5.55,4.89,2423,4.53,127801,2821220,High ROI
Chennai,Tier_1,Villa,1,2385,22,0,3,Unfurnished,Open,4.02,4.46,12.05,6579,1.65,264540,16032738,Low ROI
Gurgaon,Tier_2,Apartment,2,780,4,0,5,Fully-Furnished,Open,0.63,2.34,9.6,3999,2.67,83326,3120836,Medium ROI
Dhanbad,Tier_3,Independent House,3,1199,15,0,2,Semi-Furnished,Open,2.27,5.0,3.67,2074,1.8,47776,2654262,Low ROI
Nashik,Tier_3,Apartment,1,741,0,7,8,Fully-Furnished,None,4.27,1.22,2.74,3252,3.68,82451,2240536,High ROI
Gurgaon,Tier_2,Apartment,2,803,5,2,5,Fully-Furnished,Open,7.03,5.67,3.56,4073,1.98,69482,3509221,Low ROI
Shimla,Tier_3,Apartment,2,1103,0,2,7,Semi-Furnished,Covered,6.61,0.18,4.32,3183,3.39,122290,3607393,Medium ROI
Faridabad,Tier_3,Independent House,3,1277,0,0,1,Fully-Furnished,Open,8.75,2.39,3.97,3873,3.85,185368,4814755,High ROI
Rajkot,Tier_3,Apartment,3,1197,15,8,9,Unfurnished,Covered,0.27,3.72,1.98,1931,4.08,100857,2472004,High ROI
Srinagar,Tier_3,Apartment,2,755,0,6,7,Fully-Furnished,Open,7.56,0.76,2.09,2614,4.72,89128,1888312,High ROI
Gwalior,Tier_3,Apartment,2,714,10,2,5,Semi-Furnished,Covered,6.9,0.12,5.13,1985,3.85,55177,1433176,High ROI
Solapur,Tier_3,Apartment,3,1108,1,2,8,Unfurnished,Open,0.68,3.42,4.79,2240,4.93,118916,2412107,High ROI
Jaipur,Tier_2,Apartment,1,939,30,1,5,Semi-Furnished,None,7.21,2.09,3.42,2286,1.97,43699,2218232,Low ROI
Chandigarh,Tier_2,Plot,2,1070,0,0,2,Unfurnished,Covered,4.74,4.69,9.1,4602,2.58,122302,4740389,Medium ROI
Puducherry,Tier_3,Apartment,2,947,5,5,6,Fully-Furnished,Open,5.56,2.77,0.01,3552,2.67,88278,3306302,Medium ROI
Jaipur,Tier_2,Apartment,3,1243,4,5,8,Semi-Furnished,Covered,11.59,1.27,1.85,3675,2.41,105378,4372564,Low ROI
Ahmedabad,Tier_1,Plot,3,1573,17,0,1,Fully-Furnished,None,7.36,8.26,10.75,4386,1.5,111390,7426003,Low ROI
Kota,Tier_3,Plot,2,1851,1,0,1,Fully-Furnished,Open,8.85,4.01,3.79,2893,3.55,182615,5144111,High ROI
Pune,Tier_1,Apartment,3,1071,5,0,4,Semi-Furnished,Open,10.16,4.51,7.38,6752,1.5,105243,7016253,Low ROI
Warangal,Tier_3,Plot,3,2022,1,0,2,Semi-Furnished,Covered,8.34,1.34,2.34,2150,2.21,96304,4357685,Low ROI
Karnal,Tier_3,Apartment,2,1192,14,1,4,Unfurnished,Covered,1.63,2.65,6.41,2149,4.7,125114,2662015,High ROI
Patna,Tier_2,Independent House,1,868,7,0,3,Fully-Furnished,Open,2.98,5.14,5.12,6504,2.14,119509,5584568,Low ROI
Vijayawada,Tier_3,Apartment,3,1019,17,0,5,Semi-Furnished,Open,1.99,1.34,5.46,1784,5.41,91133,1684545,High ROI
Ghaziabad,Tier_2,Apartment,3,1462,2,5,6,Semi-Furnished,Open,10.36,3.69,7.73,4008,2.07,124248,6002326,Low ROI
Bokaro,Tier_3,Apartment,3,1121,6,4,8,Unfurnished,Open,3.61,0.19,3.48,2505,4.06,112594,2773265,High ROI
Salem,Tier_3,Apartment,3,1474,0,0,7,Unfurnished,None,7.46,4.88,2.17,2810,3.34,144212,4317750,Medium ROI
Mangalore,Tier_3,Villa,3,2581,4,0,1,Fully-Furnished,None,4.64,2.3,6.0,4610,3.64,434796,11944947,High ROI
Kochi,Tier_3,Apartment,2,800,0,0,7,Semi-Furnished,Covered,6.89,3.96,2.77,3395,3.62,100780,2783984,High ROI
Tiruchirappalli,Tier_3,Plot,2,1383,1,0,1,Semi-Furnished,Covered,5.95,5.58,3.45,2512,3.94,137660,3493916,High ROI
Guwahati,Tier_3,Apartment,3,1149,5,5,8,Semi-Furnished,Covered,3.39,3.74,0.33,2126,4.58,109203,2384349,High ROI
Ahmedabad,Tier_1,Villa,2,3045,6,0,2,Fully-Furnished,Open,1.03,4.48,7.17,7654,1.5,348401,23226751,Low ROI
Jamshedpur,Tier_3,Apartment,2,814,49,2,11,Fully-Furnished,Open,1.15,2.97,3.23,2135,4.43,79747,1800176,High ROI
Chandrapur,Tier_3,Apartment,3,900,9,4,8,Semi-Furnished,None,2.98,4.5,0.22,2014,3.79,65518,1728721,High ROI
Mangalore,Tier_3,Apartment,2,1331,6,3,8,Fully-Furnished,Covered,5.46,3.8,2.12,3480,4.34,215800,4972361,High ROI
Varanasi,Tier_3,Apartment,2,1071,1,3,7,Fully-Furnished,Covered,4.31,0.33,2.42,3361,2.91,112938,3881062,Medium ROI
Solapur,Tier_3,Apartment,2,833,2,9,17,Fully-Furnished,Open,8.17,1.3,6.08,2894,3.29,84282,2561785,Medium ROI
Navi Mumbai,Tier_2,Apartment,2,849,0,0,8,Semi-Furnished,Open,10.39,1.18,5.23,4416,1.66,61418,3699908,Low ROI
Solapur,Tier_3,Apartment,2,1147,4,3,5,Unfurnished,None,0.7,2.23,7.07,2042,3.93,91032,2316356,High ROI
Kota,Tier_3,Villa,3,3102,1,0,2,Unfurnished,Covered,6.63,3.51,4.81,3154,2.21,224885,10175829,Low ROI
Salem,Tier_3,Apartment,3,1107,4,7,8,Unfurnished,Open,3.32,1.44,4.33,1948,3.12,69646,2232259,Medium ROI
Patna,Tier_2,Apartment,3,1619,11,2,7,Semi-Furnished,Open,5.08,3.21,7.27,4443,2.26,155809,6894239,Low ROI
Agartala,Tier_3,Villa,2,2619,4,0,1,Unfurnished,Open,1.07,4.03,1.44,2655,2.14,148687,6948025,Low ROI
Kochi,Tier_3,Apartment,2,1168,15,1,6,Semi-Furnished,None,9.56,0.1,3.71,1975,3.49,80255,2299597,Medium ROI
Ghaziabad,Tier_2,Apartment,1,917,8,2,5,Fully-Furnished,None,6.66,4.54,4.98,5387,2.89,153162,5299743,Medium ROI
Coimbatore,Tier_3,Apartment,1,623,23,0,8,Semi-Furnished,Open,10.21,1.98,0.14,2565,3.14,50235,1599856,Medium ROI
Ahmedabad,Tier_1,Villa,2,1896,9,0,3,Unfurnished,Open,13.08,4.07,8.63,6986,2.27,306978,13523287,Low ROI
Aurangabad,Tier_3,Apartment,2,1046,2,2,6,Semi-Furnished,None,3.77,1.5,4.67,2195,3.18,69532,2186570,Medium ROI
Howrah,Tier_3,Apartment,2,755,0,5,7,Unfurnished,None,7.55,2.26,5.31,2435,3.79,67346,1776962,High ROI
Vijayawada,Tier_3,Apartment,2,1106,2,3,8,Unfurnished,Open,9.26,0.11,1.06,2932,1.9,59424,3127597,Low ROI
Aligarh,Tier_3,Plot,2,1620,0,0,2,Semi-Furnished,Covered,2.28,3.01,7.82,2464,3.71,145425,3919820,High ROI
Bhavnagar,Tier_3,Apartment,3,874,14,1,3,Unfurnished,Open,1.95,4.64,3.64,2398,4.27,84578,1980751,High ROI
Raipur,Tier_3,Apartment,3,1571,4,6,9,Unfurnished,None,1.51,4.29,3.15,1851,3.74,100705,2692667,High ROI
Varanasi,Tier_3,Independent House,2,686,2,0,2,Semi-Furnished,Covered,3.05,2.22,2.35,3145,2.85,64911,2277600,Medium ROI
Indore,Tier_2,Apartment,1,523,2,2,7,Fully-Furnished,Open,3.96,5.06,5.83,3843,2.42,46790,1933479,Low ROI
Gaya,Tier_3,Independent House,2,983,12,0,3,Unfurnished,Open,5.12,2.14,1.33,2368,3.85,88633,2302178,High ROI
Dehradun,Tier_3,Independent House,3,1267,6,0,1,Fully-Furnished,None,9.55,1.32,8.33,3244,4.49,178460,3974620,High ROI
Ranchi,Tier_3,Apartment,3,981,8,9,10,Fully-Furnished,Open,3.81,2.68,6.9,2423,2.85,63222,2218333,Medium ROI
Patna,Tier_2,Apartment,3,979,14,4,5,Semi-Furnished,Open,3.98,2.36,3.3,3151,1.5,43642,2909486,Low ROI
Navi Mumbai,Tier_2,Villa,1,2160,6,0,3,Fully-Furnished,Covered,9.7,2.84,4.9,5957,2.75,329529,11982884,Medium ROI
Bikaner,Tier_3,Apartment,1,742,8,2,6,Unfurnished,Open,1.78,3.61,0.65,1790,3.81,53320,1399492,High ROI
Thane,Tier_2,Plot,1,828,4,0,1,Semi-Furnished,Open,4.72,1.89,1.86,4026,1.57,54950,3500030,Low ROI
Navi Mumbai,Tier_2,Independent House,3,1114,13,0,1,Fully-Furnished,Open,9.17,6.5,2.83,3835,3.49,139205,3988700,Medium ROI
Navi Mumbai,Tier_2,Apartment,3,1234,1,1,8,Fully-Furnished,Open,3.73,2.82,5.33,5538,1.5,107934,7195617,Low ROI
Tirunelveli,Tier_3,Independent House,3,1001,28,0,2,Semi-Furnished,Covered,5.16,2.34,0.76,2564,4.02,97282,2419967,High ROI
Jabalpur,Tier_3,Villa,2,2041,2,0,3,Fully-Furnished,Covered,5.97,4.87,6.31,4030,3.97,351036,8842217,High ROI
Varanasi,Tier_3,Apartment,2,647,7,3,10,Unfurnished,Open,4.01,1.4,1.72,1850,3.23,40875,1265485,Medium ROI
Kochi,Tier_3,Apartment,2,789,1,2,4,Unfurnished,Open,4.87,2.98,0.53,2107,3.54,57106,1613178,High ROI
Thane,Tier_2,Apartment,2,1047,14,0,6,Semi-Furnished,Open,3.86,5.46,5.11,2942,3.69,111137,3011846,High ROI
Mumbai,Tier_1,Apartment,2,1082,1,0,8,Semi-Furnished,Open,8.44,4.94,8.13,5426,1.87,115364,6169201,Low ROI
Tiruppur,Tier_3,Apartment,1,853,40,1,5,Unfurnished,Open,7.97,2.27,0.07,1679,3.79,56563,1492436,High ROI
Tiruchirappalli,Tier_3,Apartment,2,1023,11,2,8,Semi-Furnished,Open,4.29,5.93,1.36,2947,3.25,99542,3062845,Medium ROI
Kolkata,Tier_1,Apartment,2,1081,18,1,4,Unfurnished,Covered,9.28,2.87,8.32,5763,1.56,93538,5996085,Low ROI
Cuttack,Tier_3,Apartment,3,1500,38,3,4,Unfurnished,Open,5.22,2.54,1.0,1318,2.38,47869,2011307,Low ROI
Srinagar,Tier_3,Apartment,4,1416,3,4,6,Semi-Furnished,None,6.62,3.48,0.4,2892,4.51,181866,4032512,High ROI
Jabalpur,Tier_3,Apartment,3,1379,3,0,11,Unfurnished,None,0.29,6.15,3.02,2555,4.21,147168,3495677,High ROI
Srinagar,Tier_3,Plot,3,2054,2,0,3,Unfurnished,Open,3.98,4.34,1.36,2589,3.88,202916,5229809,High ROI
Kanpur,Tier_2,Villa,1,2174,7,0,1,Fully-Furnished,Open,1.89,4.34,6.74,6972,2.77,406102,14660756,Medium ROI
Nagpur,Tier_2,Apartment,2,516,2,0,10,Semi-Furnished,Covered,5.38,4.6,4.96,3512,2.35,41093,1748663,Low ROI
Coimbatore,Tier_3,Plot,2,1127,5,0,3,Semi-Furnished,Covered,0.86,4.44,2.77,2301,4.0,105979,2649480,High ROI
Tirunelveli,Tier_3,Independent House,2,988,2,0,3,Semi-Furnished,Open,10.59,6.51,6.22,2993,3.1,97509,3145477,Medium ROI
Dhanbad,Tier_3,Apartment,1,903,10,0,6,Semi-Furnished,Covered,0.75,2.06,4.28,1963,3.02,49864,1651149,Medium ROI
Jhansi,Tier_3,Plot,3,1054,0,0,1,Fully-Furnished,Open,2.87,3.0,0.57,2872,4.16,122097,2935036,High ROI
Rajkot,Tier_3,Independent House,3,1268,12,0,1,Semi-Furnished,Open,4.97,1.51,0.86,2224,5.5,164655,2993731,High ROI
Aligarh,Tier_3,Apartment,3,1170,0,6,14,Unfurnished,Covered,4.06,3.34,3.7,2311,2.67,66690,2497781,Medium ROI
Kanpur,Tier_2,Apartment,2,1034,5,5,10,Semi-Furnished,Covered,6.17,5.76,2.48,4248,1.5,63560,4237337,Low ROI
Srinagar,Tier_3,Apartment,3,1139,5,4,8,Fully-Furnished,Open,6.06,0.29,2.82,2800,3.89,128056,3291932,High ROI
Raipur,Tier_3,Apartment,2,838,25,9,11,Unfurnished,Open,5.54,0.23,5.09,1987,3.7,64748,1749971,High ROI
Srinagar,Tier_3,Apartment,4,1500,9,0,5,Semi-Furnished,Open,1.6,4.78,0.64,2802,2.63,112017,4259224,Medium ROI
Tiruchirappalli,Tier_3,Apartment,4,1351,7,3,8,Fully-Furnished,Open,2.42,2.56,4.31,2338,2.64,86586,3279777,Medium ROI
Ujjain,Tier_3,Apartment,2,1088,4,1,8,Semi-Furnished,Open,2.61,0.03,2.68,2674,4.79,134973,2817814,High ROI
Thiruvananthapuram,Tier_3,Villa,2,2702,8,0,3,Semi-Furnished,Covered,1.52,1.57,1.62,3070,4.59,406226,8850248,High ROI
Kochi,Tier_3,Independent House,3,1210,2,0,2,Semi-Furnished,Covered,2.9,2.07,3.59,2826,2.48,86454,3486062,Low ROI
Ujjain,Tier_3,Villa,2,2332,9,0,2,Fully-Furnished,None,8.3,2.88,2.81,4136,3.74,389069,10402926,High ROI
Aurangabad,Tier_3,Apartment,2,1341,18,0,4,Semi-Furnished,Covered,0.04,3.64,1.88,2220,3.26,103840,3185280,Medium ROI
Gurgaon,Tier_2,Apartment,2,963,0,1,9,Semi-Furnished,Covered,7.38,1.44,2.96,5361,2.68,137528,5131673,Medium ROI
Visakhapatnam,Tier_3,Apartment,3,1197,4,3,7,Unfurnished,Open,1.3,2.43,3.28,2224,4.57,127722,2794794,High ROI
Kochi,Tier_3,Apartment,4,1359,4,2,6,Semi-Furnished,Open,3.55,1.72,1.13,2467,4.28,150831,3524099,High ROI
Nanded,Tier_3,Villa,2,2727,8,0,1,Semi-Furnished,Open,3.16,5.81,9.2,3688,4.27,417599,9779851,High ROI
Jhansi,Tier_3,Apartment,3,1273,7,4,6,Fully-Furnished,Open,8.5,0.63,4.09,3088,4.32,169152,3915574,High ROI
Nagpur,Tier_2,Villa,5,3283,11,0,2,Fully-Furnished,Open,4.95,4.11,6.85,5206,2.84,471580,16604959,Medium ROI
Rourkela,Tier_3,Independent House,3,1389,2,0,2,Unfurnished,Open,5.4,1.11,1.29,2323,3.11,108134,3476989,Medium ROI
Mumbai,Tier_1,Apartment,1,1036,6,6,7,Unfurnished,Open,10.77,7.4,8.61,5778,1.59,88829,5586778,Low ROI
Jodhpur,Tier_3,Apartment,2,990,5,2,3,Semi-Furnished,None,2.38,0.28,5.58,2178,4.21,87180,2070791,High ROI
Cuttack,Tier_3,Apartment,1,746,8,0,7,Unfurnished,None,3.03,2.57,1.48,2335,3.2,56240,1757528,Medium ROI
Patna,Tier_2,Villa,2,2384,3,0,2,Fully-Furnished,Covered,6.14,2.92,6.25,8345,2.35,476832,20290757,Low ROI
Shimla,Tier_3,Villa,3,2928,2,0,3,Semi-Furnished,Open,5.33,2.79,1.25,3166,5.43,538169,9911042,High ROI
Jaipur,Tier_2,Apartment,3,1739,0,0,4,Semi-Furnished,Open,6.97,2.92,0.74,5312,3.45,316972,9187616,Medium ROI
Firozabad,Tier_3,Apartment,5,1767,6,5,10,Semi-Furnished,Covered,3.61,0.5,0.71,2136,4.36,155041,3556007,High ROI
Jaipur,Tier_2,Independent House,2,1281,7,0,1,Unfurnished,None,10.07,5.22,4.08,3519,2.53,106413,4206074,Medium ROI
Bhubaneswar,Tier_3,Independent House,1,530,6,0,2,Unfurnished,Open,1.66,1.78,1.87,2798,4.22,64760,1534613,High ROI
Hyderabad,Tier_1,Apartment,2,1044,7,6,7,Unfurnished,Open,13.03,6.18,6.72,4954,2.48,122903,4955775,Low ROI
Salem,Tier_3,Apartment,4,1694,12,4,7,Fully-Furnished,None,1.0,4.2,6.04,3039,3.8,193577,5094151,High ROI
Delhi,Tier_1,Independent House,1,1307,27,0,3,Fully-Furnished,None,9.08,3.31,6.25,5788,1.71,123732,7235831,Low ROI
Nashik,Tier_3,Plot,1,1614,5,0,3,Unfurnished,Covered,2.71,3.07,5.38,2352,4.31,161055,3736798,High ROI
Tiruppur,Tier_3,Plot,2,1581,9,0,3,Unfurnished,Open,6.5,4.53,8.53,1771,5.04,148923,2954828,High ROI
Nellore,Tier_3,Apartment,3,1293,2,2,10,Semi-Furnished,None,2.67,3.61,2.88,2679,5.22,188386,3608939,High ROI
Navi Mumbai,Tier_2,Apartment,2,682,20,3,9,Fully-Furnished,Open,7.56,2.04,6.53,4519,1.5,47927,3195199,Low ROI
Gurgaon,Tier_2,Apartment,3,959,20,0,5,Unfurnished,Open,11.74,4.13,2.27,3886,2.41,85800,3560187,Low ROI
Thiruvananthapuram,Tier_3,Apartment,3,1101,4,0,8,Semi-Furnished,Open,4.51,2.61,0.64,2564,4.78,142297,2976944,High ROI
Vijayawada,Tier_3,Villa,2,1502,6,0,1,Fully-Furnished,Covered,3.25,1.76,1.55,4703,3.13,209316,6687427,Medium ROI
Ujjain,Tier_3,Apartment,4,1453,1,0,4,Unfurnished,Covered,5.15,0.48,3.08,2653,4.53,179878,3970820,High ROI
Bengaluru,Tier_1,Villa,2,2583,1,0,2,Unfurnished,Open,9.42,9.87,6.74,6222,2.62,399416,15244911,Medium ROI
Bhubaneswar,Tier_3,Apartment,1,632,9,0,3,Unfurnished,Open,1.91,1.97,1.55,2006,4.65,59284,1274929,High ROI
